hour,cf_humboldt
1,0.694608097
2,0.591755466
3,0.454813765
4,0.347497976
5,0.366500405
6,0.329448583
7,0.30565749
8,0.34497166
9,0.458221862
10,0.419729555
11,0.318581377
12,0.200809717
13,0.116984615
14,0.099612146
15,0.133166802
16,0.145090688
17,0.071755466
18,0.013867206
19,0
20,0
21,0
22,0
23,9.31174E-05
24,0.007890688
25,0.029752227
26,0.062918219
27,0.086590283
28,0.061793522
29,0.033003239
30,0.009051012
31,0
32,0
33,0
34,0
35,0
36,0
37,0.00611417
38,0.050159514
39,0.094416194
40,0.127546559
41,0.175277733
42,0.198210526
43,0.294260729
44,0.274738462
45,0.248884211
46,0.265587045
47,0.248434008
48,0.223945749
49,0.146787045
50,0.087931174
51,0.049492308
52,0.009968421
53,0.000961943
54,0
55,0
56,0
57,9.31174E-05
58,0.001505263
59,0.006403239
60,0.070573279
61,0.075365182
62,0.113088259
63,0.161265587
64,0.199489879
65,0.23134251
66,0.247635628
67,0.301266397
68,0.427803239
69,0.474523077
70,0.357517409
71,0.392409717
72,0.502107692
73,0.570082591
74,0.392953846
75,0.296780567
76,0.399534413
77,0.189795951
78,0.309808097
79,0.539217814
80,0.42182996
81,0.475859109
82,0.491420243
83,0.272954656
84,0.266259109
85,0.244093927
86,0.209174089
87,0.256097166
88,0.289812146
89,0.272807287
90,0.243417004
91,0.180955466
92,0.157821862
93,0.100237247
94,0.059636437
95,0.038962753
96,0.044994332
97,0.051491498
98,0.073059109
99,0.062155466
100,0.060523887
101,0.013
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0.001303644
116,0.015794332
117,0.024550607
118,0.001877733
119,0
120,0
121,0
122,0
123,0
124,0.02571336
125,0.046499595
126,0.009774899
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0.007263158
137,0.005804049
138,0
139,0
140,0.057451012
141,0.120016194
142,0.090394332
143,0.039863968
144,0.000589474
145,0
146,0.000589474
147,0.005152227
148,0.013312551
149,0
150,0
151,0
152,0
153,0.004019433
154,0.022321457
155,0.026968421
156,0.001024291
157,0.000465587
158,0.012757085
159,0.003366802
160,0
161,0
162,0.005959514
163,0.017569231
164,0
165,0
166,0.000651822
167,0
168,0
169,0.012116599
170,0.038478543
171,0.043440486
172,0.011710931
173,0.000558704
174,0.045220243
175,0.119338462
176,0.243277733
177,0.312384615
178,0.437013765
179,0.529252632
180,0.478102024
181,0.413389474
182,0.566632389
183,0.708671255
184,0.582638057
185,0.293632389
186,0.091646964
187,0.043939271
188,0.002745749
189,0.003165992
190,0
191,0
192,0.054766802
193,0.039698785
194,0.036106073
195,0.030612146
196,0.028848583
197,0.040444534
198,0.054463158
199,0.039046964
200,0.010443725
201,0.013841296
202,0.165089879
203,0.389750607
204,0.402041296
205,0.308587045
206,0.205755466
207,0.175036437
208,0.249101215
209,0.364061538
210,0.468163563
211,0.337082591
212,0.359244534
213,0.328551417
214,0.311273684
215,0.234688259
216,0.21491498
217,0.215433198
218,0.248226721
219,0.276795142
220,0.345863968
221,0.38225749
222,0.368419433
223,0.281299595
224,0.188966802
225,0.111648583
226,0.059178947
227,0.061383806
228,0.098335223
229,0.18211498
230,0.350146559
231,0.403636437
232,0.37211417
233,0.425222672
234,0.393958704
235,0.334407287
236,0.379660729
237,0.363161943
238,0.328638866
239,0.226901215
240,0.219157085
241,0.281738462
242,0.219117409
243,0.112989474
244,0.085504453
245,0.0678
246,0.078236437
247,0.119047773
248,0.127298785
249,0.103014575
250,0.083632389
251,0.064816194
252,0.02785668
253,0.013778138
254,0.022136842
255,0.00540081
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0.002385425
271,0.003466397
272,0.025711741
273,0.018026721
274,0.007266397
275,0.012331984
276,0.009723077
277,0.015562753
278,0.058161134
279,0.128279352
280,0.192445344
281,0.236696356
282,0.264404858
283,0.281846964
284,0.21308502
285,0.172442105
286,0.2487417
287,0.407395951
288,0.474202429
289,0.591473684
290,0.717284211
291,0.791588664
292,0.83302915
293,0.881460729
294,0.850076113
295,0.706045344
296,0.487204049
297,0.345099595
298,0.259919028
299,0.13740081
300,0.108848583
301,0.11714332
302,0.109148988
303,0.108727126
304,0.103215385
305,0.052612955
306,0.037157895
307,0.025589474
308,0.009873684
309,0.000868826
310,0
311,0
312,0.039700405
313,0.061993522
314,0.05557166
315,0.053121457
316,0.015068016
317,0.027736842
318,0.067791903
319,0.075509312
320,0.069699595
321,0.092834818
322,0.110838866
323,0.085071255
324,0.017719028
325,0
326,0.000558704
327,0.002482591
328,0
329,0.02182834
330,0.155818623
331,0.096900405
332,0.044268826
333,0.090413765
334,0.198221053
335,0.282707692
336,0.470017814
337,0.681432389
338,0.788088259
339,0.85814413
340,0.88502915
341,0.860797571
342,0.878624291
343,0.960021053
344,0.984079352
345,0.994092308
346,0.999271255
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,0.999927126
363,0.811765182
364,0.28234251
365,0.040065587
366,0.003761943
367,0.005692308
368,0.016840486
369,0.052826721
370,0.11922753
371,0.139212146
372,0.203261538
373,0.253447773
374,0.368218623
375,0.414084211
376,0.424727126
377,0.496436437
378,0.625753036
379,0.756036437
380,0.770874494
381,0.660053441
382,0.789098785
383,0.611272065
384,0.718561134
385,0.91079919
386,0.972447773
387,0.999854251
388,1
389,0.999815385
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,1
401,0.999562753
402,0.999013765
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,1
411,0.981547368
412,0.595735223
413,0.139780567
414,0.097678543
415,0.099589474
416,0.032149798
417,0.010166802
418,0.000558704
419,0
420,0
421,0.000279352
422,0.005306073
423,0.003723887
424,0.008377328
425,0.019882591
426,0.039888259
427,0.057904453
428,0.086177328
429,0.127462348
430,0.169585425
431,0.220534413
432,0.256181377
433,0.250557085
434,0.258561943
435,0.32857247
436,0.390792713
437,0.412132794
438,0.419948178
439,0.464262348
440,0.617684211
441,0.733214575
442,0.79539919
443,0.858996761
444,0.941206478
445,0.975533603
446,0.986615385
447,0.993149798
448,0.986615385
449,0.984511741
450,0.988534413
451,0.985420243
452,0.984390283
453,0.993509312
454,0.996118219
455,0.985760324
456,0.935557895
457,0.79545749
458,0.664336842
459,0.620715789
460,0.712787045
461,0.765546559
462,0.733153036
463,0.647592713
464,0.558503644
465,0.491203239
466,0.704063158
467,0.791012146
468,0.638055061
469,0.566918219
470,0.71937085
471,0.762276113
472,0.935671255
473,0.983055061
474,0.990273684
475,0.994262348
476,0.993616194
477,0.983297166
478,0.970957895
479,0.91354413
480,0.794204049
481,0.830908502
482,0.782123077
483,0.603481781
484,0.550895547
485,0.594548988
486,0.505825101
487,0.404472065
488,0.484821053
489,0.511036437
490,0.399042105
491,0.303493927
492,0.297497976
493,0.4100583
494,0.43999919
495,0.355470445
496,0.288121457
497,0.266975709
498,0.237917409
499,0.232075304
500,0.178243725
501,0.198564372
502,0.246981377
503,0.179417004
504,0.119881781
505,0.143406478
506,0.169386235
507,0.134582996
508,0.111381377
509,0.101899595
510,0.04391336
511,0.004676113
512,0.005834818
513,9.31174E-05
514,0.021958704
515,0.277448583
516,0.437242915
517,0.415037247
518,0.394555466
519,0.350659919
520,0.289917409
521,0.188055061
522,0.08368583
523,0.13660081
524,0.321824291
525,0.318700405
526,0.206024291
527,0.221757085
528,0.452451822
529,0.535392713
530,0.399379757
531,0.268403239
532,0.18677247
533,0.143036437
534,0.106178138
535,0.248117409
536,0.372077733
537,0.33934251
538,0.383833198
539,0.417178138
540,0.583852632
541,0.96239919
542,0.944451012
543,0.902562753
544,0.862034818
545,0.720097976
546,0.58059919
547,0.684823482
548,0.807534413
549,0.786565992
550,0.941968421
551,0.987334413
552,0.969781377
553,0.867775709
554,0.723897976
